p1,p2,p1_wins_cards,p1_wins_tricks,p2_wins_cards,p2_wins_tricks,draws_cards,draws_tricks
000,001,6,6,3,1,1,3
000,010,1,1,9,7,0,2
000,011,2,3,7,6,1,1
000,100,0,0,10,10,0,0
000,101,1,0,9,7,0,3
000,110,0,0,10,10,0,0
000,111,5,3,5,3,0,4
001,000,3,1,6,6,1,3
001,010,8,8,2,1,0,1
001,011,10,10,0,0,0,0
001,100,0,0,10,10,0,0
001,101,10,8,0,0,0,2
001,110,5,5,5,5,0,0
001,111,10,10,0,0,0,0
010,000,9,7,1,1,0,2
010,001,2,1,8,8,0,1
010,011,5,5,5,4,0,1
010,100,4,4,6,5,0,1
010,101,5,4,5,3,0,3
010,110,1,3,9,7,0,0
010,111,7,8,3,1,0,1
011,000,7,6,2,3,1,1
011,001,0,0,10,10,0,0
011,010,5,4,5,5,0,1
011,100,3,3,7,6,0,1
011,101,5,2,5,5,0,3
011,110,10,10,0,0,0,0
011,111,10,10,0,0,0,0
100,000,10,10,0,0,0,0
100,001,10,10,0,0,0,0
100,010,6,5,4,4,0,1
100,011,7,6,3,3,0,1
100,101,5,3,5,3,0,4
100,110,2,2,8,6,0,2
100,111,9,9,1,1,0,0
101,000,9,7,1,0,0,3
101,001,0,0,10,8,0,2
101,010,5,3,5,4,0,3
101,011,5,5,5,2,0,3
101,100,5,3,5,3,0,4
101,110,0,0,10,9,0,1
101,111,7,6,2,0,1,4
110,000,10,10,0,0,0,0
110,001,5,5,5,5,0,0
110,010,9,7,1,3,0,0
110,011,0,0,10,10,0,0
110,100,8,6,2,2,0,2
110,101,10,9,0,0,0,1
110,111,3,4,7,5,0,1
111,000,5,3,5,3,0,4
111,001,0,0,10,10,0,0
111,010,3,1,7,8,0,1
111,011,0,0,10,10,0,0
111,100,1,1,9,9,0,0
111,101,2,0,7,6,1,4
111,110,7,5,3,4,0,1
