p1,p2,p1_wins_cards,p1_wins_tricks,p2_wins_cards,p2_wins_tricks,draws_cards,draws_tricks
000,001,2362004,2022418,2538235,2205133,99773,772461
000,010,1386640,1057842,3532605,3324839,80767,617331
000,011,880846,563436,4018793,3847372,100373,589204
000,100,47,5578,4999937,4974466,28,19968
000,101,1261480,839085,3632158,3470882,106374,690045
000,110,46970,41243,4939962,4836463,13080,122306
000,111,2429751,1626755,2427015,1626708,143246,1746549
001,000,2538235,2205133,2362004,2022418,99773,772461
001,010,4315185,4005336,619162,581225,65665,413451
001,011,4778309,4414140,179464,258583,42239,327289
001,100,9515,131456,4988058,4676413,2439,192143
001,101,4588155,3961516,342425,567133,69432,471363
001,110,2390484,2047739,2387565,2045377,221963,906896
001,111,4940016,4837065,47183,41513,12813,121434
010,000,3532605,3324839,1386640,1057842,80767,617331
010,001,619162,581225,4315185,4005336,65665,413451
010,011,2427726,2157047,2428813,2158287,143473,684678
010,100,2101053,2118066,2790200,2209705,108759,672241
010,101,2438863,2031099,2441301,2031691,119848,937222
010,110,342793,567198,4588058,3960892,69161,471922
010,111,3632206,3471044,1261491,839319,106315,689649
011,000,4018793,3847372,880846,563436,100373,589204
011,001,179464,258583,4778309,4414140,42239,327289
011,010,2428813,2158287,2427726,2157047,143473,684678
011,100,2426561,2156890,2430189,2158539,143262,684583
011,101,2790964,2210956,2100018,2117554,109030,671502
011,110,4988143,4677759,9422,130588,2447,191665
011,111,4999924,4974386,65,5580,23,20046
100,000,4999937,4974466,47,5578,28,19968
100,001,4988058,4676413,9515,131456,2439,192143
100,010,2790200,2209705,2101053,2118066,108759,672241
100,011,2430189,2158539,2426561,2156890,143262,684583
100,101,2428221,2158811,2428256,2158187,143535,683014
100,110,179776,258648,4778902,4414277,41334,327087
100,111,4020383,3846993,879781,563136,99848,589883
101,000,3632158,3470882,1261480,839085,106374,690045
101,001,342425,567133,4588155,3961516,69432,471363
101,010,2441301,2031691,2438863,2031099,119848,937222
101,011,2100018,2117554,2790964,2210956,109030,671502
101,100,2428256,2158187,2428221,2158811,143535,683014
101,110,618883,580213,4315568,4005568,65561,414231
101,111,3532221,3324360,1386314,1057957,81477,617695
110,000,4939962,4836463,46970,41243,13080,122306
110,001,2387565,2045377,2390484,2047739,221963,906896
110,010,4588058,3960892,342793,567198,69161,471922
110,011,9422,130588,4988143,4677759,2447,191665
110,100,4778902,4414277,179776,258648,41334,327087
110,101,4315568,4005568,618883,580213,65561,414231
110,111,2541200,2204849,2359659,2021860,99153,773303
111,000,2427015,1626708,2429751,1626755,143246,1746549
111,001,47183,41513,4940016,4837065,12813,121434
111,010,1261491,839319,3632206,3471044,106315,689649
111,011,65,5580,4999924,4974386,23,20046
111,100,879781,563136,4020383,3846993,99848,589883
111,101,1386314,1057957,3532221,3324360,81477,617695
111,110,2359659,2021860,2541200,2204849,99153,773303
